blkgrp,cbsa,blkgrps,population,households,land_acres,ht_ami,ht_80ami,ht_nmi,h_ami,h_80ami,h_nmi,t_ami,t_80ami,t_nmi,co2_per_hh_local,co2_per_acre_local,autos_per_hh_ami,autos_per_hh_80ami,autos_per_hh_nmi,vmt_per_hh_ami,vmt_per_hh_80ami,vmt_per_hh_nmi,pct_transit_commuters_ami,pct_transit_commuters_80ami,pct_transit_commuters_nmi,t_cost_ami,t_cost_80ami,t_cost_nmi,auto_ownership_cost_ami,auto_ownership_cost_80ami,auto_ownership_cost_nmi,vmt_cost_ami,vmt_cost_80ami,vmt_cost_nmi,transit_cost_ami,transit_cost_80ami,transit_cost_nmi,transit_trips_ami,transit_trips_80ami,transit_trips_nmi,compact_ndx,emp_ovrll_ndx,gross_hh_density,hh_gravity,frac_sfd,emp_gravity,emp_ndx,block_size,h_cost,median_smoc,median_gross_rent,pct_owner_occupied_hu,pct_renter_occupied_hu
"""490451307012""","""Salt Lake City, UT""",1.00,938.00,283.00,20669.23,44,54,51,20,25,24,24,29,26,10.15,0.14,2.53,2,2,27641,27444,26358,0,0,0,21721,20591,19815,16264,15175,14614,5453,5412,5198,4,4,3,9,10,8,0.0,1.4,0.01,3054,100,3374,44,738,1531,1587,,96,4
"""490451307013""","""Salt Lake City, UT""",1.00,2579.00,682.00,8306.91,47,57,54,24,31,29,23,27,25,9.64,0.79,2.39,2,2,26122,25925,24839,0,0,0,20496,19410,18633,15335,14289,13728,5153,5112,4898,8,9,7,8,8,6,0.9,0.6,0.08,2916,85,3793,46,219,1838,2158,,85,15
"""490451307041""","""Salt Lake City, UT""",1.00,3327.00,737.00,422.58,50,61,58,28,35,34,22,26,24,10.30,17.96,2.30,2,2,25824,25627,24541,0,0,0,19906,18845,18067,14800,13780,13219,5094,5054,4839,11,12,9,10,11,8,3.2,0.9,1.74,4593,100,3607,45,12,2106,2132,,99,1
"""490451307042""","""Salt Lake City, UT""",1.00,3291.00,1006.00,444.37,44,53,50,22,27,26,22,26,24,9.27,20.98,2.28,2,2,25044,24847,23761,1,1,1,19619,18565,17786,14660,13646,13085,4941,4900,4686,19,19,15,18,18,14,2.9,0.9,2.26,4678,92,3721,45,22,1649,1721,,96,4
"""490451307051""","""Salt Lake City, UT""",1.00,1328.00,382.00,200.04,42,51,48,21,27,26,21,25,23,9.07,17.33,2.17,2,2,24718,24521,23434,0,0,0,18800,17780,17003,13912,12933,12373,4876,4835,4621,12,12,10,11,11,9,3.2,1.1,1.91,4511,100,3846,45,13,1613,1503,1840,67,33
"""490451307052""","""Salt Lake City, UT""",1.00,1920.00,403.00,3665.20,51,62,59,28,35,34,23,27,25,10.32,1.13,2.42,2,2,27015,26818,25732,0,0,0,20857,19762,18985,15518,14464,13903,5329,5288,5074,10,10,8,9,9,7,0.7,1.1,0.11,3442,92,3283,45,204,2099,2274,,92,8
"""490451307053""","""Salt Lake City, UT""",1.00,2961.00,833.00,342.08,46,56,53,25,31,29,21,25,23,9.38,22.83,2.25,2,2,24679,24482,23396,1,1,0,19312,18268,17490,14430,13426,12866,4869,4828,4614,14,14,11,13,13,10,3.0,1.2,2.44,4661,100,3844,45,16,1844,2079,,89,11
"""490451307061""","""Salt Lake City, UT""",1.00,2166.00,570.00,321.90,42,51,48,21,27,25,20,24,22,8.41,14.89,2.19,2,2,22075,21878,20791,1,1,1,18432,17406,16627,14059,13073,12512,4355,4314,4100,18,19,15,17,18,14,4.4,3.3,1.77,6239,92,6576,42,8,1595,1690,,94,6
"""490451307062""","""Salt Lake City, UT""",1.00,2829.00,877.00,6189.86,45,55,52,22,28,27,23,27,25,9.84,1.39,2.41,2,2,26847,26650,25564,0,0,0,20790,19697,18920,15484,14432,13871,5296,5255,5041,10,10,8,9,9,7,1.2,1.7,0.14,2597,93,2691,43,124,1682,1682,,100,0
"""490451307063""","""Salt Lake City, UT""",1.00,987.00,272.00,6230.30,49,60,56,27,33,32,22,26,24,8.71,0.38,2.38,2,2,24891,24694,23608,0,0,0,20191,19108,18330,15269,14226,13666,4910,4870,4655,11,12,9,11,11,9,0.6,3.0,0.04,2871,90,5007,42,260,1996,2262,,88,12
