place_name,year,place_medinc,medinc_source
East Carbon,2021,39583.0,acs_place
East Carbon,2022,52554.0,acs_place
East Carbon,2023,40114.0,acs_place
East Carbon,2024,37991.0,acs_place
Echo,2019,,acs_place
Echo,2020,,acs_place
Echo,2021,,acs_place
Echo,2022,90714.0,acs_place
Echo,2023,,acs_place
Echo,2024,,acs_place
Eden,2019,118558.0,acs_place
Eden,2020,121172.0,acs_place
Eden,2021,124375.0,acs_place
Eden,2022,113587.0,acs_place
Eden,2023,149539.0,acs_place
Eden,2024,121923.0,acs_place
Elberta,2019,60647.0,acs_place
Elberta,2020,,acs_place
Elberta,2021,,acs_place
Elberta,2022,,acs_place
Elberta,2023,,acs_place
Elberta,2024,,acs_place
Elk Ridge,2019,100391.0,acs_place
Elk Ridge,2020,103875.0,acs_place
Elk Ridge,2021,108750.0,acs_place
Elk Ridge,2022,126131.0,acs_place
Elk Ridge,2023,138587.0,acs_place
Elk Ridge,2024,143167.0,acs_place
Elmo,2019,65000.0,acs_place
Elmo,2020,65833.0,acs_place
Elmo,2021,60833.0,acs_place
Elmo,2022,62917.0,acs_place
Elmo,2023,52143.0,acs_place
Elmo,2024,45000.0,acs_place
Elsinore,2019,52639.0,acs_place
Elsinore,2020,52875.0,acs_place
Elsinore,2021,56786.0,acs_place
Elsinore,2022,53929.0,acs_place
Elsinore,2023,67708.0,acs_place
Elsinore,2024,70500.0,acs_place
Elwood,2019,83068.0,acs_place
Elwood,2020,88681.0,acs_place
Elwood,2021,93068.0,acs_place
Elwood,2022,98309.0,acs_place
Elwood,2023,99375.0,acs_place
Elwood,2024,101771.0,acs_place
Emery,2019,56875.0,acs_place
Emery,2020,61250.0,acs_place
Emery,2021,66875.0,acs_place
Emery,2022,68333.0,acs_place
Emery,2023,75000.0,acs_place
Emery,2024,73125.0,acs_place
Emigration Canyon,2019,127625.0,acs_place
Emigration Canyon,2020,130139.0,acs_place
Emigration Canyon,2021,143472.0,acs_place
Emigration Canyon,2022,138125.0,acs_place
Emigration Canyon,2023,184722.0,acs_place
Emigration Canyon,2024,190833.0,acs_place
Enoch,2019,61857.0,acs_place
Enoch,2020,62643.0,acs_place
Enoch,2021,65625.0,acs_place
Enoch,2022,74438.0,acs_place
Enoch,2023,81767.0,acs_place
Enoch,2024,80750.0,acs_place
Enterprise,2019,58650.0,acs_place
Enterprise,2020,63750.0,acs_place
Enterprise,2021,68828.0,acs_place
Enterprise,2022,69083.0,acs_place
Enterprise,2023,72407.0,acs_place
Enterprise,2024,91250.0,acs_place
Ephraim,2019,43476.0,acs_place
Ephraim,2020,56750.0,acs_place
Ephraim,2021,60982.0,acs_place
Ephraim,2022,70677.0,acs_place
Ephraim,2023,71661.0,acs_place
