blkgrp2,blkgrp,cbsa,blkgrps,population,households,land_acres,ht_ami,ht_80ami,ht_nmi,h_ami,h_80ami,h_nmi,t_ami,t_80ami,t_nmi,co2_per_hh_local,co2_per_acre_local,autos_per_hh_ami,autos_per_hh_80ami,autos_per_hh_nmi,vmt_per_hh_ami,vmt_per_hh_80ami,vmt_per_hh_nmi,pct_transit_commuters_ami,pct_transit_commuters_80ami,pct_transit_commuters_nmi,t_cost_ami,t_cost_80ami,t_cost_nmi,auto_ownership_cost_ami,auto_ownership_cost_80ami,auto_ownership_cost_nmi,vmt_cost_ami,vmt_cost_80ami,vmt_cost_nmi,transit_cost_ami,transit_cost_80ami,transit_cost_nmi,transit_trips_ami,transit_trips_80ami,transit_trips_nmi,compact_ndx,emp_ovrll_ndx,res_density,gross_hh_density,hh_gravity,frac_sfd,emp_gravity,emp_ndx,block_size,intersection_density,avg_block_perimeter_meters,h_cost,median_smoc,median_gross_rent,pct_owner_occupied_hu,pct_renter_occupied_hu
4.90351E+11,"""490351135321""","""Salt Lake City, UT""",1,1566,496,157.5,46,55,52,24,30,29,22,25,23,8.05,25.34,2.07,2,2,18882,18611,18057,4,4,4,16127,15054,14740,12992,11960,11739,3025,2980,2891,110,114,110,221,228,219,5.1,6.1,3.19,3.15,27343,87,32498,79,8,244,941,1511,1547,1386,79,21
4.90351E+11,"""490351139043""","""Salt Lake City, UT""",1,1331,314,119.21,46,56,53,22,27,26,24,29,27,10.25,27.01,2.31,2,2,22809,22364,21849,2,2,2,18200,17141,16856,14482,13495,13296,3653,3581,3498,65,65,62,130,130,124,3.8,3.4,3.37,2.63,13122,94,13282,83,12,204,929,1349,1343,1384,84,16
4.90351E+11,"""490351135272""","""Salt Lake City, UT""",1,1279,311,112.56,46,55,52,21,27,25,24,29,27,10.28,28.39,2.31,2,2,22667,22460,21908,3,3,3,18198,17160,16844,14484,13481,13258,3631,3596,3508,83,83,79,167,165,158,4.1,5.3,3.69,2.76,22420,100,20515,81,8,301,832,1324,1368,,97,3
4.90351E+11,"""490351138011""","""Salt Lake City, UT""",1,1922,471,151.47,47,57,53,24,30,28,23,27,25,9.02,28.05,2.2,2,2,20536,20117,19640,4,4,4,17219,16141,15849,13818,12806,12594,3289,3221,3145,112,115,110,224,229,220,4.2,4.9,4.01,3.11,22187,99,21065,81,8,245,928,1480,1428,1598,70,30
4.90351E+11,"""490351137012""","""Salt Lake City, UT""",1,1107,272,91.26,40,49,46,18,23,22,22,26,24,8.28,24.67,2.12,2,2,19692,19448,18898,4,4,4,16573,15519,15196,13306,12289,12060,3154,3114,3026,113,115,110,226,231,220,4.6,6.2,4.41,2.98,26898,100,26238,79,7,217,757,1133,1172,940,83,17
4.90351E+11,"""490351138012""","""Salt Lake City, UT""",1,1952,406,89.82,44,53,51,22,27,26,23,27,25,9.65,43.61,2.15,2,2,20886,20501,20005,3,3,3,16945,15915,15630,13500,12531,12331,3345,3283,3203,99,101,96,199,202,192,5.7,4.9,4.12,4.52,22149,90,20942,81,5,349,681,1343,1286,1509,74,26
4.90351E+11,"""490351139042""","""Salt Lake City, UT""",1,755,264,82.29,45,55,52,22,27,26,23,28,26,9.45,30.33,2.21,2,2,22846,22602,21942,2,2,2,17565,16491,16153,13856,12823,12593,3659,3619,3513,50,50,47,100,100,94,4.2,3.5,3.52,3.21,13664,100,14014,83,7,226,749,1369,1369,,100,0
4.90351E+11,"""490351139073""","""Salt Lake City, UT""",1,1577,471,140.58,44,53,50,19,24,23,24,29,27,9.84,32.96,2.3,2,2,23375,22995,22441,2,2,1,18227,17189,16917,14437,13461,13280,3744,3682,3593,46,46,44,92,92,87,4.4,3.1,3.35,3.35,10364,91,10920,83,9,200,818,1198,1232,972,89,11
4.90351E+11,"""490351137022""","""Salt Lake City, UT""",1,1327,407,83.17,44,54,50,21,26,25,23,27,25,9.15,44.77,2.19,2,2,21381,21243,20647,3,3,3,17228,16219,15886,13720,12734,12501,3425,3401,3306,83,84,79,167,167,157,4.7,6.1,4.11,4.89,26048,99,24592,80,8,215,912,1321,1286,1558,87,13
4.90351E+11,"""490351139071""","""Salt Lake City, UT""",1,5305,1366,35362.76,50,61,58,25,32,30,25,30,28,12.44,0.48,2.28,2,2,27722,27439,26604,1,1,1,18763,17686,17385,14287,13258,13093,4440,4393,4260,35,34,33,71,69,65,1,2.4,5.46,0.04,5323,72,6751,84,209,5,2387,1582,1657,1319,78,22
4.90351E+11,"""490351145003""","""Salt Lake City, UT""",1,5403,1452,10359.64,44,53,50,23,29,28,20,24,23,8.25,1.16,1.95,2,2,18819,18465,17989,2,3,2,15324,14329,14176,12238,11299,11224,3014,2956,2880,71,73,71,143,146,143,5.9,6.2,5.96,0.14,11903,36,87442,79,39,35,1660,1453,1545,1389,42,58
